,Latitude,Longitude,Altitude,Date,DateStr,Weekday,IsWeekend,Dis2Center,Dis2Destination,Time
0,39.897968,116.366871,131.0,1221539356,2008-09-16 12:29:16,1,0,666.9709752368221,3.127122367485478,4
1,39.869606,116.368021,131.0,1221539707,2008-09-16 12:35:07,1,0,663.8183185228471,0.8777659820960891,4
2,39.863333,116.36899,164.0,1221578494,2008-09-16 23:21:34,1,0,663.1216131066387,0.37046525316950507,8
3,39.866859,116.368156,187.0,1221578703,2008-09-16 23:25:03,1,0,663.5129886728552,0.2521693964895299,8
4,39.869393,116.368248,138.0,1221578900,2008-09-16 23:28:20,1,0,663.7948188922219,13.509664925646208,8
5,39.986963,116.327036,210.0,1221580690,2008-09-16 23:58:10,1,0,676.8445929634313,0.05371876004196512,8
6,39.987684,116.326818,226.0,1221580813,2008-09-17 00:00:13,2,0,676.9246957555265,0.09073534545761083,0
7,39.988759,116.326853,197.0,1221580926,2008-09-17 00:02:06,2,0,677.0442405933222,0.25566623387341575,0
8,39.863403,116.369029,151.0,1221667168,2008-09-17 23:59:28,2,0,663.1294284305762,0.11322378747856175,8
9,39.864156,116.367913,187.0,1221667272,2008-09-18 00:01:12,3,0,663.2122452174209,0.3783768041755084,0
10,39.867794,116.368106,203.0,1221667393,2008-09-18 00:03:13,3,0,663.6169108773065,1.5497370193572733,0
11,39.881979,116.368215,269.0,1221667649,2008-09-18 00:07:29,3,0,665.1942303613674,0.5080612193189779,0
12,39.886718,116.368064,233.0,1221667768,2008-09-18 00:09:28,3,0,665.7210382491885,0.10880377742776758,0
13,39.887918,116.368061,367.0,1221667919,2008-09-18 00:11:59,3,0,665.8544639651557,1.0729444622217195,0
14,39.89783,116.368321,240.0,1221668062,2008-09-18 00:14:22,3,0,666.9567901351907,0.04819428542157405,0
15,39.865085,116.358456,387.0,1221756327,2008-09-19 00:45:27,4,0,663.3084320129584,13.298512448896043,0
16,39.984646,116.347386,203.0,1221757745,2008-09-19 01:09:05,4,0,676.595772971024,1.8179474120805983,0
17,39.989398,116.326841,190.0,1221758109,2008-09-19 01:15:09,4,0,677.1152900237146,0.05126121516127733,0
18,39.990111,116.326798,138.0,1221758227,2008-09-19 01:17:07,4,0,677.1945581682178,0.08603226611335935,0
19,39.991128,116.326903,197.0,1221758418,2008-09-19 01:20:18,4,0,677.3076755977793,0.0712470024429618,0
20,39.863586,116.369023,79.0,1222009313,2008-09-21 23:01:53,6,1,663.1497712592973,0.16360819224433723,8
21,39.865019,116.367964,161.0,1222009500,2008-09-21 23:05:00,6,1,663.308243492411,0.04698641169457453,8
22,39.865678,116.368105,121.0,1222009655,2008-09-21 23:07:35,6,1,663.3816318743475,0.10244939006008372,8
23,39.866849,116.36816,128.0,1222009892,2008-09-21 23:11:32,6,1,663.5118800146148,0.9995484459438975,8
24,39.876086,116.36822,141.0,1222010262,2008-09-21 23:17:42,6,1,664.5389912888941,0.11164038236788744,8
25,39.877355,116.368264,164.0,1222010391,2008-09-21 23:19:51,6,1,664.68012713292,0.46980263144944473,8
26,39.881819,116.368303,177.0,1222010533,2008-09-21 23:22:13,6,1,665.1765111933654,0.3727262605366301,8
27,39.885418,116.368218,197.0,1222010757,2008-09-21 23:25:57,6,1,665.5766154877213,0.21368603330120672,8
28,39.887598,116.368416,187.0,1222011014,2008-09-21 23:30:14,6,1,665.8191701509431,0.6883135415244936,8
29,39.894028,116.368418,121.0,1222011202,2008-09-21 23:33:22,6,1,666.5341239005705,0.1353348247274908,8
30,39.895474,116.368379,203.0,1222011325,2008-09-21 23:35:25,6,1,666.6948731854413,0.291834330726201,8
31,39.897993,116.367436,171.0,1222055250,2008-09-22 11:47:30,0,0,666.974203697349,2.2329048369290962,3
32,39.877693,116.368041,141.0,1222055600,2008-09-22 11:53:20,0,0,664.7175289810167,0.8686573249346222,3
33,39.869631,116.368013,118.0,1222055763,2008-09-22 11:56:03,0,0,663.8210918069468,0.8966027212760472,3
34,39.863358,116.36899,154.0,1222099213,2008-09-23 00:00:13,1,0,663.1243928550272,0.08185748910207424,0
35,39.863434,116.367935,177.0,1222099326,2008-09-23 00:02:06,1,0,663.1319837514101,0.15730550847641156,0
36,39.865101,116.368101,180.0,1222099487,2008-09-23 00:04:47,1,0,663.3174719630722,0.16335000265201122,0
37,39.866813,116.368151,174.0,1222099814,2008-09-23 00:10:14,1,0,663.507869877093,0.17702256773218872,0
38,39.868619,116.368148,154.0,1222100124,2008-09-23 00:15:24,1,0,663.7086767078,0.6534197651988811,0
