,Latitude,Longitude,Altitude,Date
0,39.9763,116.330383333333,157,39567.3483101852
1,39.9752333333333,116.330066666667,154,39567.3856944444
2,39.9759166666667,116.3303,154,39567.386087963
3,39.9785666666667,116.330283333333,183,39568.5691435185
4,39.9706666666667,116.346816666667,183,39568.5736342593
5,39.96625,116.35105,187,39568.5753587963
6,39.9661166666667,116.351733333333,187,39568.5754976852
7,39.9660666666667,116.352433333333,144,39568.576099537
8,39.9659666666667,116.353416666667,157,39568.5768634259
9,39.966,116.3542,183,39568.5775115741
10,39.96545,116.354233333333,187,39568.5780787037
11,39.9649333333333,116.354283333333,187,39568.5786226852
12,39.9643333333333,116.3543,223,39568.5793055556
13,39.9638333333333,116.35445,203,39568.5798032407
14,39.9632,116.354733333333,144,39568.5805324074
15,39.9627,116.354583333333,173,39568.5813541667
16,39.9621833333333,116.35435,177,39568.5821759259
17,39.9615166666667,116.354266666667,170,39568.5829398148
18,39.81815,119.48115,187,39569.1722569444
19,39.8178166666667,119.480866666667,150,39569.1725810185
20,39.8179333333333,119.480316666667,150,39569.1773148148
21,39.8177166666667,119.480916666667,144,39569.1775231481
22,39.8181666666667,119.479683333333,55,39569.180462963
23,39.8178,119.480583333333,29,39569.1805555556
24,39.8181,119.480766666667,29,39569.1884027778
25,39.8185166666667,119.481083333333,13,39569.189525463
26,39.81895,119.481433333333,85,39569.1911226852
27,39.8187166666667,119.4816,39,39569.2226041667
28,39.8183,119.481216666667,3,39569.2234606481
29,39.8184333333333,119.480716666667,0,39569.2268402778
30,39.8181833333333,119.481066666667,45,39569.2279050926
31,39.81775,119.479566666667,72,39569.2301041667
32,39.8174166666667,119.4787,39,39569.2314583333
33,39.8171666666667,119.477416666667,0,39569.2330902778
34,39.8164833333333,119.477283333333,0,39569.2340740741
35,39.8160166666667,119.477333333333,6,39569.2348263889
36,39.8153833333333,119.477216666667,9,39569.2357175926
37,39.8147,119.477083333333,6,39569.2400694444
38,39.8150666666667,119.4768,0,39569.3325347222
39,39.8146666666667,119.476816666667,29,39569.349224537
40,39.8153166666667,119.476816666667,22,39569.3507407407
41,39.8157333333333,119.476783333333,26,39569.3525462963
42,39.8161166666667,119.477033333333,26,39569.3534953704
43,39.8168833333333,119.477216666667,16,39569.354837963
44,39.8177666666667,119.47995,3,39569.3582638889
45,39.8180333333333,119.480616666667,32,39569.3613657407
46,39.8178333333333,119.48,19,39569.3628819444
47,39.8173833333333,119.478466666667,0,39569.364837963
48,39.8170333333333,119.477483333333,16,39569.3658796296
49,39.8163166666667,119.47735,19,39569.3670949074
50,39.8156666666667,119.47735,16,39569.3679398148
51,39.8152833333333,119.477083333333,26,39569.3684837963
52,39.8147666666667,119.477033333333,6,39569.3692476852
53,39.8155833333333,119.476816666667,3,39569.3728009259
54,39.8160666666667,119.477016666667,0,39569.3734606481
55,39.8167666666667,119.477166666667,19,39569.374375
56,39.8174,119.47895,0,39569.3763888889
57,39.8177166666667,119.47985,9,39569.3774537037
58,39.8179166666667,119.480466666667,13,39569.3780208333
59,39.8182166666667,119.481,0,39569.3788310185
60,39.8186833333333,119.48125,0,39569.3795949074
61,39.8191166666667,119.4816,3,39569.3803472222
62,39.8196833333333,119.482033333333,32,39569.3812152778
63,39.8193,119.481733333333,42,39569.3823842593
64,39.8193333333333,119.481,26,39569.3830208333
65,39.8185833333333,119.481066666667,26,39569.4651157407
66,39.8178333333333,119.481566666667,29,39569.4656134259
67,39.817,119.482766666667,29,39569.466875
68,39.8168,119.483466666667,29,39569.4685185185
69,39.8174166666667,119.483633333333,6,39569.4686689815
70,39.8194666666667,119.484933333333,13,39569.4723958333
71,39.82,119.485116666667,13,39569.4741898148
72,39.8211,119.4856,13,39569.4744097222
73,39.8203,119.484933333333,13,39569.4762268519
74,39.8199333333333,119.4847,13,39569.4778009259
75,39.8206,119.482733333333,13,39569.4811921296
76,39.8210333333333,119.483083333333,16,39569.4825810185
77,39.8205666666667,119.482466666667,0,39569.4839351852
78,39.8199666666667,119.482116666667,6,39569.4862731481
79,39.8193,119.4816,6,39569.4879861111
80,39.8186333333333,119.48135,3,39569.4889583333
81,39.81915,119.480933333333,3,39569.4890856481
82,39.8195166666667,119.47575,3,39570.0198842593
83,39.8179,119.4797,3,39570.0200925926
84,39.81765,119.478766666667,3,39570.0208101852
85,39.8171666666667,119.478166666667,3,39570.0214814815
86,39.8167333333333,119.477533333333,3,39570.0221527778
87,39.8158666666667,119.4773,3,39570.0230555556
88,39.8152166666667,119.477066666667,3,39570.0237847222
89,39.8147,119.476916666667,3,39570.0260532407
90,39.8147,119.47765,3,39570.0310648148
91,39.8143666666667,119.478033333333,3,39570.0317824074
92,39.8138833333333,119.478416666667,3,39570.0327430556
93,39.8143,119.478116666667,29,39570.0384027778
94,39.8149,119.4778,13,39570.0411805556
95,39.8151,119.47715,13,39570.0427199074
96,39.81575,119.477183333333,0,39570.0458796296
97,39.8161666666667,119.4774,13,39570.0468402778
98,39.8168166666667,119.4773,9,39570.0478819444
99,39.8171,119.477816666667,9,39570.0487037037
100,39.8174666666667,119.478333333333,9,39570.0493055556
101,39.8175666666667,119.478883333333,9,39570.0500115741
102,39.8177166666667,119.4797,78,39570.0507523148
103,39.8180833333333,119.4806,52,39570.0515740741
104,39.8179333333333,119.480583333333,0,39570.1127314815
105,39.8178333333333,119.480116666667,0,39570.1169328704
106,39.8176333333333,119.479316666667,3,39570.1181481481
107,39.8174666666667,119.478516666667,19,39570.1192476852
108,39.81735,119.4779,13,39570.12
109,39.8172,119.477383333333,3,39570.1209027778
110,39.8163166666667,119.477366666667,0,39570.1234953704
111,39.8152666666667,119.477533333333,0,39570.1257523148
112,39.81455,119.477983333333,0,39570.1270023148
113,39.81405,119.478266666667,0,39570.1283680556
114,39.8136,119.478416666667,13,39570.1319097222
115,39.8142166666667,119.47795,29,39570.1347453704
116,39.8137833333333,119.4782,3,39570.1358912037
117,39.8135833333333,119.478483333333,13,39570.1392824074
118,39.8133,119.479066666667,39,39570.1434606481
119,39.8129333333333,119.479666666667,39,39570.1445486111
120,39.8127333333333,119.480066666667,29,39570.1486458333
121,39.8127,119.48085,22,39570.1501273148
122,39.8128,119.481316666667,16,39570.1516319444
123,39.8129333333333,119.481716666667,26,39570.1555092593
124,39.8129666666667,119.4822,42,39570.1564351852
125,39.8127666666667,119.482733333333,49,39570.1631018519
126,39.8125666666667,119.483716666667,75,39570.1657523148
127,39.8127,119.4846,39,39570.1687962963
128,39.8128333333333,119.48535,29,39570.1740509259
129,39.8126166666667,119.48445,68,39570.1764351852
130,39.8128,119.482333333333,49,39570.2304166667
131,39.813,119.481583333333,6,39570.2318287037
132,39.8128,119.4805,39,39570.2343402778
133,39.81295,119.479866666667,22,39570.2353587963
134,39.8134666666667,119.478933333333,6,39570.237025463
135,39.8136666666667,119.478333333333,39,39570.2518287037
136,39.8140666666667,119.477966666667,16,39570.2582291667
137,39.8144166666667,119.47785,42,39570.2594675926
138,39.8146,119.477233333333,13,39570.2636689815
139,39.81505,119.476816666667,19,39570.2665509259
140,39.8156833333333,119.476816666667,52,39570.2691898148
141,39.8160833333333,119.477,55,39570.2706712963
142,39.8166333333333,119.4772,68,39570.2718865741
143,39.8173666666667,119.4786,209,39570.2748611111
144,39.8178833333333,119.480116666667,173,39570.277037037
145,39.8176833333333,119.4807,16,39570.2783796296
146,39.8165166666667,119.481416666667,16,39570.2793287037
147,39.8177,119.480783333333,16,39570.2808796296
148,39.8180666666667,119.480816666667,9,39570.2851157407
149,39.81755,119.480883333333,9,39570.2863657407
150,39.8169833333333,119.477366666667,59,39570.2900578704
151,39.8250666666667,119.500933333333,78,39570.2963541667
152,39.8258166666667,119.501266666667,88,39570.2975578704
153,39.82625,119.501366666667,124,39570.2984722222
154,39.8256833333333,119.50115,203,39570.2997106481
155,39.82505,119.500933333333,229,39570.300474537
156,39.82595,119.500816666667,239,39570.30125
157,39.8248333333333,119.50105,141,39570.3013194444
158,39.8244833333333,119.500766666667,68,39570.3038888889
159,39.8288833333333,119.502116666667,19,39570.324224537
160,39.8290333333333,119.508016666667,3,39570.3249884259
161,39.83355,119.51075,0,39570.3254513889
162,39.8882,119.531133333333,19,39570.329537037
163,39.8922333333333,119.534983333333,29,39570.3299074074
164,39.89385,119.535216666667,45,39570.3302546296
165,39.8981333333333,119.531283333333,49,39570.3307986111
166,39.9014666666667,119.535516666667,19,39570.3312962963
167,39.90675,119.542116666667,22,39570.3318865741
168,39.9105166666667,119.548666666667,36,39570.3324884259
169,39.9231666666667,119.569533333333,13,39570.3342939815
170,39.9264666666667,119.5676,13,39570.3349305556
171,39.9390166666667,119.566933333333,36,39570.3365393518
172,39.9427666666667,119.57035,26,39570.3373726852
173,39.9450666666667,119.571233333333,26,39570.3378009259
174,39.9468166666667,119.5709,13,39570.3380555556
175,39.9581,119.5667,42,39570.3398263889
176,39.9555833333333,119.557833333333,39,39570.3405671296
177,39.9595333333333,119.555333333333,39,39570.3409953704
178,39.97025,119.545216666667,62,39570.3427662037
179,39.9705,119.544916666667,52,39570.3452199074
180,39.9682333333333,119.547133333333,45,39570.358125
181,39.9586,119.555966666667,39,39570.3593287037
182,39.9556166666667,119.5576,52,39570.3605671296
183,39.9582166666667,119.56615,42,39570.3619907407
184,39.9616166666667,119.5791,78,39570.3632407407
185,39.9627833333333,119.582266666667,68,39570.363599537
186,39.9629,119.585316666667,65,39570.3640740741
187,39.9630166666667,119.5844,114,39570.3646296296
188,39.9629333333333,119.585116666667,118,39570.3650694444
189,39.9618,119.586316666667,98,39570.3653587963
190,39.9597,119.586716666667,88,39570.3656712963
191,39.9596333333333,119.587183333333,55,39570.3710069444
192,39.9618333333333,119.586566666667,108,39570.3793171296
193,39.9624833333333,119.587333333333,108,39570.3795023148
194,39.9629,119.58225,104,39570.3801273148
195,39.9601166666667,119.573633333333,101,39570.3807638889
196,39.9559,119.558583333333,62,39570.3818981481
197,39.9556,119.5578,45,39570.3822222222
198,39.9585833333333,119.556183333333,49,39570.3826273148
199,39.9695333333333,119.54605,65,39570.3840856481
200,39.9720666666667,119.543616666667,75,39570.3843634259
201,39.9728166666667,119.53815,82,39570.3846990741
202,39.97445,119.536433333333,78,39570.3849305556
203,39.9794833333333,119.536283333333,62,39570.3856712963
204,39.9783333333333,119.53345,65,39570.3859722222
205,39.9722833333333,119.5194,75,39570.386712963
206,39.9483333333333,119.424916666667,190,39570.390775463
